Loyalty Number;Country;Province;City;Postal Code;Gender;Education;Salary;Marital Status;Loyalty Card;Enrollment Type;Enrollment Year;Enrollment Month
100018;Canada;Alberta;Edmonton;T9G 1W3;Female;Bachelor;92552;Married;Aurora;Standard;2021;8
100102;Canada;Ontario;Toronto;M1R 4K3;Male;College;0;Single;Nova;Standard;2018;3
100140;Canada;British Columbia;Dawson Creek;U5I 4F1;Female;College;0;Divorced;Nova;Standard;2021;7
100214;Canada;British Columbia;Vancouver;V5R 1W3;Male;Bachelor;63253;Married;Star;Standard;2020;8
100272;Canada;Ontario;Toronto;P1L 8X8;Female;Bachelor;91163;Divorced;Star;Standard;2019;1
100301;Canada;Ontario;Toronto;P1J 8T7;Male;Bachelor;70323;Divorced;Nova;Standard;2018;9
100364;Canada;Saskatchewan;Regina;S6J 3G0;Male;Bachelor;76849;Married;Nova;Standard;2020;5
100380;Canada;Quebec;Montreal;H2T 9K8;Female;Bachelor;69695;Single;Star;Standard;2017;10
100428;Canada;British Columbia;Vancouver;V6E 3D9;Male;Bachelor;63478;Married;Aurora;Standard;2017;8
100504;Canada;Ontario;Sudbury;M5V 1G5;Female;Bachelor;75638;Divorced;Nova;Standard;2022;7
100550;Canada;Quebec;Montreal;H2Y 4R4;Female;Bachelor;54133;Married;Nova;Standard;2018;2
863070;Canada;Ontario;Toronto;M8Y 4K8;Male;Bachelor;89340;Divorced;Nova;Standard;2018;2
100590;Canada;British Columbia;Vancouver;V6E 3Z3;Female;Bachelor;69841;Married;Star;2023 Promotion;2023;3
100642;Canada;Quebec;Quebec City;G1B 3L5;Female;Bachelor;51667;Married;Nova;Standard;2017;5
100644;Canada;Alberta;Peace River;T9O 2W2;Female;Master;94440;Divorced;Star;Standard;2020;7
100646;Canada;Newfoundland;St. John's;A1C 6H9;Female;Bachelor;101933;Married;Star;Standard;2020;10
100727;Canada;Quebec;Tremblant;H5Y 2S9;Male;Master;128118;Married;Nova;Standard;2019;3
100737;Canada;British Columbia;Vancouver;V5R 1W3;Female;College;0;Single;Star;Standard;2022;4
100753;Canada;Quebec;Quebec City;G1B 3L5;Male;Bachelor;47717;Divorced;Star;Standard;2020;10
100816;Canada;Ontario;Ottawa;K1F 2R2;Female;Master;97497;Divorced;Aurora;Standard;2018;3
100853;Canada;Ontario;Trenton;K8V 4B2;Male;College;0;Married;Star;Standard;2021;1
100883;Canada;Manitoba;Winnipeg;R3R 3T4;Female;College;0;Single;Star;Standard;2018;6
100890;Canada;Ontario;Toronto;P1W 1K4;Female;College;0;Divorced;Nova;Standard;2019;8
101018;Canada;Ontario;Thunder Bay;K8T 5M5;Female;Bachelor;56523;Married;Nova;Standard;2019;4
101148;Canada;British Columbia;West Vancouver;V6V 8Z3;Female;High School or Below;45229;Single;Nova;Standard;2017;11
101356;Canada;Ontario;Toronto;M2M 7K8;Male;Bachelor;50688;Married;Nova;Standard;2017;11
101363;Canada;New Brunswick;Fredericton;E3B 2H2;Female;Bachelor;59310;Married;Star;Standard;2021;4
691626;Canada;British Columbia;Vancouver;V6E 3D9;Female;College;0;Married;Star;2023 Promotion;2023;4
101515;Canada;New Brunswick;Fredericton;E3B 2H2;Male;Bachelor;68711;Married;Nova;Standard;2019;1
101540;Canada;Ontario;London;M5B 3E4;Female;Bachelor;69020;Single;Star;Standard;2022;5
101544;Canada;Quebec;Montreal;H2Y 2W2;Female;Bachelor;56531;Married;Nova;Standard;2019;4
101547;Canada;Ontario;Toronto;M2M 7K8;Female;College;0;Married;Star;Standard;2022;10
101581;Canada;Ontario;Toronto;P5S 6R4;Male;Bachelor;87781;Married;Star;Standard;2017;10
101594;Canada;Ontario;Toronto;P2T 6G3;Male;Doctor;239867;Divorced;Star;Standard;2020;8
101644;Canada;Ontario;Toronto;P1L 8X8;Female;Master;101038;Married;Star;Standard;2023;11
101663;Canada;Ontario;Toronto;M2M 7K8;Male;Bachelor;94946;Married;Aurora;Standard;2021;9
101664;Canada;Nova Scotia;Halifax;B3J 9S2;Male;Bachelor;87654;Married;Aurora;Standard;2018;7
101768;Canada;British Columbia;West Vancouver;V6V 8Z3;Male;Bachelor;70267;Single;Nova;Standard;2023;9
101895;Canada;Ontario;Ottawa;K1F 2R2;Female;Bachelor;81883;Single;Nova;Standard;2018;2
101902;Canada;Ontario;London;M5B 3E4;Female;College;0;Married;Aurora;Standard;2022;1
101945;Canada;Nova Scotia;Halifax;B3C 2M8;Male;Bachelor;86098;Married;Star;Standard;2018;11
102168;Canada;Ontario;Toronto;P5S 6R4;Female;Bachelor;75265;Divorced;Nova;Standard;2023;1
102184;Canada;Alberta;Peace River;T9O 2W2;Male;Bachelor;76887;Married;Star;Standard;2021;4
102207;Canada;Quebec;Montreal;H4G 3T4;Male;Bachelor;86413;Divorced;Nova;Standard;2017;5
102299;Canada;Manitoba;Winnipeg;R6Y 4T5;Female;College;0;Single;Star;Standard;2020;7
102308;Canada;Quebec;Montreal;H2T 2J6;Male;College;0;Single;Star;Standard;2023;11
102311;Canada;Ontario;Toronto;M2Z 4K1;Female;Bachelor;76485;Single;Star;Standard;2021;10
102376;Canada;Ontario;Sudbury;M5V 1G5;Male;College;0;Single;Aurora;2023 Promotion;2023;3
102464;Canada;Quebec;Montreal;H2T 9K8;Male;Bachelor;60563;Married;Star;Standard;2021;7
102615;Canada;Saskatchewan;Regina;S1J 3C5;Female;Doctor;51630;Married;Aurora;Standard;2023;9
102726;Canada;Saskatchewan;Regina;S6J 3G0;Male;Bachelor;84147;Married;Nova;Standard;2022;8
102730;Canada;New Brunswick;Moncton;E1A 2A7;Male;High School or Below;80919;Single;Star;Standard;2022;12
102740;Canada;Ontario;Toronto;P1W 1K4;Female;Bachelor;100571;Married;Star;Standard;2023;6
102788;Canada;Quebec;Montreal;H2T 2J6;Male;Bachelor;31170;Single;Nova;2023 Promotion;2023;3
159942;Canada;Ontario;Toronto;M8Y 4K8;Female;Bachelor;52192;Divorced;Nova;Standard;2017;8
102877;Canada;Ontario;Trenton;K8V 4B2;Female;College;0;Married;Nova;Standard;2019;7
102982;Canada;British Columbia;Dawson Creek;U5I 4F1;Male;Bachelor;84442;Married;Aurora;Standard;2021;11
103043;Canada;Ontario;Thunder Bay;K8T 5M5;Male;Bachelor;97920;Married;Star;Standard;2023;12
103151;Canada;British Columbia;Vancouver;V1E 4R6;Female;Bachelor;64962;Married;Aurora;Standard;2018;5
103217;Canada;Quebec;Montreal;H2T 2J6;Male;College;0;Single;Star;Standard;2018;10
103304;Canada;Alberta;Banff;T4V 1D4;Male;Bachelor;67227;Married;Star;Standard;2018;10
103340;Canada;British Columbia;Vancouver;V5R 1W3;Male;College;0;Single;Star;Standard;2022;3
103352;Canada;Quebec;Montreal;H2T 9K8;Male;Bachelor;69742;Married;Aurora;Standard;2019;11
103359;Canada;British Columbia;Vancouver;V6E 3D9;Female;College;0;Single;Star;Standard;2021;3
103362;Canada;Quebec;Tremblant;H5Y 2S9;Male;College;0;Single;Star;Standard;2023;10
103383;Canada;Ontario;Kingston;M9K 2P4;Male;Doctor;65018;Married;Aurora;Standard;2020;6
103436;Canada;Quebec;Montreal;H2T 9K8;Male;Bachelor;67445;Single;Star;Standard;2018;5
103490;Canada;British Columbia;Dawson Creek;U5I 4F1;Male;High School or Below;65543;Single;Nova;Standard;2018;7
103502;Canada;Ontario;Toronto;M8Y 4K8;Male;Bachelor;66226;Married;Star;Standard;2022;5
103536;Canada;British Columbia;Vancouver;V6E 3D9;Female;College;0;Married;Nova;Standard;2017;10
103699;Canada;Alberta;Peace River;T9O 2W2;Male;Bachelor;86388;Single;Nova;Standard;2023;1
103731;Canada;Manitoba;Winnipeg;R2C 0M5;Female;Bachelor;90487;Married;Nova;Standard;2021;1
103758;Canada;British Columbia;Vancouver;V5R 1W3;Female;Bachelor;103461;Single;Star;Standard;2023;6
103823;Canada;Ontario;Toronto;M1R 4K3;Female;High School or Below;52820;Married;Nova;Standard;2019;10
103860;Canada;Ontario;Thunder Bay;K8T 5M5;Male;Bachelor;75348;Married;Nova;Standard;2019;5
103862;Canada;Ontario;Kingston;M9K 2P4;Female;Doctor;299560;Married;Star;Standard;2018;7
103916;Canada;Alberta;Edmonton;T3G 6Y6;Female;High School or Below;60894;Married;Star;Standard;2019;3
103969;Canada;Ontario;Ottawa;K1F 2R2;Male;Bachelor;52405;Married;Aurora;Standard;2020;4
103970;Canada;British Columbia;Dawson Creek;U5I 4F1;Female;Doctor;221857;Married;Aurora;Standard;2020;10
103975;Canada;Ontario;Toronto;M2Z 4K1;Male;Bachelor;71775;Married;Star;Standard;2023;8
103985;Canada;Ontario;Toronto;M2Z 4K1;Male;College;0;Single;Nova;Standard;2023;9
104103;Canada;British Columbia;Vancouver;V6E 3D9;Male;College;0;Married;Nova;Standard;2021;5
104267;Canada;Ontario;Sudbury;M5V 1G5;Male;Bachelor;28642;Married;Star;2023 Promotion;2023;3
104353;Canada;Saskatchewan;Regina;S1J 3C5;Male;Bachelor;104140;Married;Star;Standard;2019;1
627915;Canada;Alberta;Peace River;T9O 2W2;Male;Bachelor;72438;Married;Star;Standard;2019;11
