Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,Enrollment Type,Total Points Redeemed
British Columbia,Vancouver,V5R 1W3,Male,Bachelor,63253,Married,Star,Standard,861
Ontario,Toronto,P1J 8T7,Male,Bachelor,70323,Divorced,Nova,Standard,1381
Saskatchewan,Regina,S6J 3G0,Male,Bachelor,76849,Married,Nova,Standard,559
Quebec,Montreal,H2T 9K8,Female,Bachelor,69695,Single,Star,Standard,1142
British Columbia,Vancouver,V6E 3D9,Male,Bachelor,63478,Married,Aurora,Standard,1658
Quebec,Montreal,H2Y 4R4,Female,Bachelor,54133,Married,Nova,Standard,1114
British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,69841,Married,Star,2023 Promotion,512
Quebec,Quebec City,G1B 3L5,Female,Bachelor,51667,Married,Nova,Standard,502
Quebec,Quebec City,G1B 3L5,Male,Bachelor,47717,Divorced,Star,Standard,750
Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,56523,Married,Nova,Standard,1186
British Columbia,West Vancouver,V6V 8Z3,Female,High School or Below,45229,Single,Nova,Standard,714
New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,59310,Married,Star,Standard,1760
New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,68711,Married,Nova,Standard,2043
Ontario,London,M5B 3E4,Female,Bachelor,69020,Single,Star,Standard,931
Quebec,Montreal,H2Y 2W2,Female,Bachelor,56531,Married,Nova,Standard,1722
Ontario,Toronto,M2Z 4K1,Female,Bachelor,76485,Single,Star,Standard,1396
Quebec,Montreal,H2T 9K8,Male,Bachelor,60563,Married,Star,Standard,761
Quebec,Montreal,H2T 2J6,Male,Bachelor,31170,Single,Nova,2023 Promotion,676
Ontario,Toronto,M8Y 4K8,Female,Bachelor,52192,Divorced,Nova,Standard,364
British Columbia,Vancouver,V1E 4R6,Female,Bachelor,64962,Married,Aurora,Standard,912
Alberta,Banff,T4V 1D4,Male,Bachelor,67227,Married,Star,Standard,947
Quebec,Montreal,H2T 9K8,Male,Bachelor,67445,Single,Star,Standard,902
Ontario,Toronto,M8Y 4K8,Male,Bachelor,66226,Married,Star,Standard,344
Ontario,Toronto,M1R 4K3,Female,High School or Below,52820,Married,Nova,Standard,1014
Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,75348,Married,Nova,Standard,1794
Alberta,Edmonton,T3G 6Y6,Female,High School or Below,60894,Married,Star,Standard,892
Ontario,Ottawa,K1F 2R2,Male,Bachelor,52405,Married,Aurora,Standard,1131
Ontario,Toronto,M2Z 4K1,Male,Bachelor,71775,Married,Star,Standard,1102
Alberta,Peace River,T9O 2W2,Male,Bachelor,72438,Married,Star,Standard,1626
Ontario,Sudbury,M5V 1G5,Male,Bachelor,60006,Married,Aurora,Standard,546
British Columbia,Vancouver,V5R 1W3,Female,Bachelor,50930,Married,Nova,Standard,403
Ontario,Ottawa,K1F 2R2,Female,Bachelor,63326,Married,Nova,Standard,363
Ontario,Toronto,M1R 4K3,Male,Bachelor,79727,Married,Nova,Standard,1567
Ontario,Trenton,K8V 4B2,Female,Bachelor,76622,Divorced,Nova,Standard,1865
Prince Edward Island,Charlottetown,C1A 6E8,Male,Bachelor,77935,Married,Nova,Standard,819
British Columbia,Whistler,V6T 1Y8,Male,Bachelor,55130,Married,Star,2023 Promotion,522
Quebec,Hull,J8Y 3Z5,Female,Bachelor,77255,Married,Star,Standard,1753
Newfoundland,St. John's,A1C 6H9,Male,Bachelor,62977,Married,Star,Standard,765
Ontario,Kingston,M9K 2P4,Female,Bachelor,75700,Married,Nova,Standard,1647
Quebec,Montreal,H2Y 4R4,Female,High School or Below,39000,Single,Star,Standard,2698
British Columbia,Vancouver,V6E 3D9,Female,Bachelor,47889,Married,Star,Standard,1377
Quebec,Montreal,H2T 9K8,Male,Bachelor,16628,Single,Star,2023 Promotion,1270
Ontario,Toronto,P1W 1K4,Female,Bachelor,61554,Married,Nova,Standard,1690
British Columbia,Vancouver,V1E 4R6,Female,Bachelor,77959,Married,Aurora,Standard,1249
Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,50611,Married,Star,Standard,1109
Ontario,London,M5B 3E4,Male,Bachelor,63081,Married,Nova,Standard,662
Ontario,Kingston,M9K 2P4,Female,Bachelor,67299,Married,Nova,Standard,948
Quebec,Montreal,H2Y 4R4,Female,Bachelor,81959,Divorced,Nova,Standard,386
British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,62780,Married,Aurora,Standard,669
Quebec,Montreal,H2Y 4R4,Male,Bachelor,74457,Married,Aurora,Standard,625
New Brunswick,Moncton,E1A 2A7,Female,Bachelor,66901,Married,Nova,Standard,491
Newfoundland,St. John's,A1C 6H9,Female,Bachelor,52961,Single,Aurora,Standard,1132
Ontario,Toronto,P1J 8T7,Female,Doctor,50363,Single,Star,Standard,424
Saskatchewan,Regina,S6J 3G0,Female,Bachelor,60970,Married,Star,Standard,2676
Quebec,Quebec City,G1B 3L5,Male,Bachelor,74474,Married,Nova,Standard,855
Quebec,Quebec City,G1B 3L5,Female,Bachelor,64014,Married,Star,Standard,1945
Ontario,Toronto,M2M 7K8,Female,Bachelor,53081,Divorced,Star,Standard,595
British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,81729,Married,Nova,Standard,932
British Columbia,Vancouver,V5R 1W3,Female,Bachelor,64417,Single,Aurora,Standard,2005
Ontario,Toronto,P5S 6R4,Female,Bachelor,57960,Married,Nova,Standard,453
Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,69098,Married,Star,Standard,429
Quebec,Montreal,H2T 2J6,Female,Bachelor,82594,Married,Nova,Standard,454
Alberta,Edmonton,T3G 6Y6,Male,Bachelor,58026,Married,Nova,Standard,1284
Quebec,Tremblant,H5Y 2S9,Male,Bachelor,80921,Married,Star,Standard,529
Saskatchewan,Regina,S6J 3G0,Female,Bachelor,57975,Married,Star,Standard,1115
Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,81771,Married,Nova,Standard,1034
British Columbia,Vancouver,V5R 1W3,Male,Bachelor,53189,Divorced,Nova,Standard,523
Alberta,Edmonton,T9G 1W3,Male,Bachelor,52267,Married,Aurora,2023 Promotion,808
Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,81901,Single,Star,Standard,1113
Ontario,Toronto,M2Z 4K1,Female,Bachelor,50879,Single,Star,Standard,748
Quebec,Tremblant,H5Y 2S9,Male,Bachelor,72625,Divorced,Star,Standard,409
Quebec,Quebec City,G1B 3L5,Female,Bachelor,73945,Single,Nova,Standard,1049
British Columbia,Victoria,V10 6T5,Female,Bachelor,55923,Married,Nova,Standard,332
Quebec,Montreal,H2T 9K8,Female,Bachelor,50748,Married,Nova,Standard,2311
Quebec,Montreal,H2Y 4R4,Female,Bachelor,58405,Married,Star,Standard,1689
Ontario,Toronto,M8Y 4K8,Female,Doctor,68273,Divorced,Nova,Standard,1262
British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,53537,Married,Nova,Standard,1356
Ontario,Toronto,P1J 8T7,Male,Bachelor,77443,Divorced,Aurora,Standard,628
British Columbia,Vancouver,V5R 1W3,Male,Bachelor,74413,Married,Nova,Standard,1351
New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,67412,Married,Nova,Standard,1154
British Columbia,Vancouver,V6E 3D9,Male,Bachelor,46795,Married,Nova,Standard,2105
British Columbia,Vancouver,V5R 1W3,Female,Bachelor,78218,Married,Aurora,Standard,1646
Newfoundland,St. John's,A1C 6H9,Female,Bachelor,66334,Married,Aurora,Standard,574
Quebec,Montreal,H2T 2J6,Female,Bachelor,66116,Married,Aurora,Standard,1662
New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,66733,Single,Aurora,Standard,456
British Columbia,Kelowna,V09 2E9,Female,Bachelor,63616,Married,Star,Standard,460
Ontario,Toronto,M2M 6J7,Male,Bachelor,47701,Married,Nova,Standard,470
Saskatchewan,Regina,S6J 3G0,Male,Bachelor,79913,Married,Star,Standard,521
Ontario,Kingston,M9K 2P4,Female,Bachelor,63343,Married,Nova,Standard,958
Manitoba,Winnipeg,R6Y 4T5,Female,Bachelor,61482,Married,Aurora,Standard,1189
Ontario,Toronto,M8Y 4K8,Male,Bachelor,78649,Married,Nova,Standard,480
British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,80516,Married,Nova,2023 Promotion,440
Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,72888,Married,Nova,Standard,914
Ontario,Toronto,P5S 6R4,Female,Bachelor,47036,Single,Aurora,Standard,677
British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,47987,Divorced,Nova,Standard,885
New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,59753,Married,Star,Standard,527
British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,57148,Married,Nova,Standard,533
British Columbia,Vancouver,V5R 1W3,Male,Bachelor,58414,Married,Nova,Standard,457
Ontario,Toronto,M2M 7K8,Female,Bachelor,50797,Single,Star,Standard,1636
Ontario,Sudbury,M5V 1G5,Male,Bachelor,80218,Married,Nova,Standard,368
Quebec,Tremblant,H5Y 2S9,Male,Bachelor,71498,Married,Aurora,Standard,983
Ontario,Sudbury,M5V 1G5,Male,Bachelor,54096,Divorced,Star,Standard,1668
British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,56700,Married,Aurora,Standard,1116
Saskatchewan,Regina,S1J 3C5,Male,Master,81765,Single,Nova,Standard,861
Ontario,Toronto,M2M 7K8,Female,Bachelor,50072,Married,Star,Standard,1051
Ontario,Toronto,M2Z 4K1,Female,Bachelor,62706,Married,Aurora,Standard,895
British Columbia,Vancouver,V1E 4R6,Male,Bachelor,61014,Married,Nova,Standard,531
British Columbia,Vancouver,V5R 1W3,Male,Bachelor,65838,Married,Star,Standard,1530
British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,72583,Married,Aurora,Standard,670
Ontario,Toronto,M2Z 4K1,Female,Bachelor,76837,Married,Star,Standard,389
Ontario,Trenton,K8V 4B2,Female,Bachelor,49139,Married,Star,Standard,953
British Columbia,Vancouver,V6E 3D9,Female,Bachelor,74994,Married,Aurora,Standard,1019
British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,55144,Married,Aurora,Standard,471
Ontario,Toronto,P1J 8T7,Male,Bachelor,69803,Divorced,Star,Standard,1575
British Columbia,Vancouver,V5R 1W3,Female,Bachelor,47178,Divorced,Star,Standard,929
Quebec,Quebec City,G1B 3L5,Female,Bachelor,60148,Divorced,Nova,Standard,1412
New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,53563,Married,Nova,2023 Promotion,511
Newfoundland,St. John's,A1C 6H9,Male,High School or Below,67024,Married,Star,Standard,1192
Ontario,Toronto,M2M 7K8,Female,Bachelor,81063,Single,Star,Standard,572
British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,54457,Divorced,Nova,Standard,2280
Ontario,Kingston,M9K 2P4,Female,Bachelor,78268,Married,Nova,Standard,1437
Alberta,Banff,T4V 1D4,Female,Bachelor,48896,Single,Star,Standard,782
